gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
TP63,Biliary Tract,-0.8795240342991915,-0.9470674754783799,-0.7917769527208733,1.0,1.0,35,1160.0,1.0,True,0.0
GRHL2,Biliary Tract,-0.5959039252136445,-0.8001888034277624,-0.36470220820148885,1.0,1.0,35,1341.0,1.0,True,0.0
MTAP,Biliary Tract,-0.5382372494706644,-0.7461600912599793,-0.2632501604658288,1.0,0.9985,35,1724.0,1.0,True,0.0359999999999987
KLF5,Biliary Tract,-0.5435958948462898,-0.7672611585839393,-0.28373956465465366,1.0,0.998,35,1593.0,1.0,True,0.043200000000000044
PARD6B,Biliary Tract,-0.5513263598857329,-0.7656744292723594,-0.2983927999013964,1.0,0.9995,35,1615.0,1.0,True,0.01542857142856973
ZEB1,Biliary Tract,-0.5434339738961335,-0.76110997110865,-0.28698856302280623,1.0,0.9995,35,1672.0,1.0,True,0.01542857142856973
TCF7L2,Biliary Tract,-0.5800923393691025,-0.7739392580203326,-0.3398916219322245,1.0,0.9995,35,1616.0,1.0,True,0.01542857142856973
TSPAN4,Biliary Tract,-0.5882976680911488,-0.8045914291622087,-0.36381751170614246,1.0,0.999,35,1382.0,1.0,True,0.027000000000000024
ITGB3,Biliary Tract,-0.6227102300871571,-0.7989434862457989,-0.34910924709599267,1.0,0.9995,35,1540.0,1.0,True,0.01542857142856973
HNF1B,Biliary Tract,-0.7881452288537247,-0.8999963478945971,-0.6462346423610299,1.0,1.0,35,1019.0,1.0,True,0.0
TEAD3,Bladder/Urinary Tract,-0.561652142851565,-0.7793600134467389,-0.31491830225735007,0.9995,0.998,34,1461.0,1.0,True,0.033230769230769265
FAM120A,Bladder/Urinary Tract,-0.6763155980423698,-0.8356765187350781,-0.44771124513584604,1.0,1.0,34,970.0,1.0,True,0.0
ELMO2,Bladder/Urinary Tract,-0.6521017407304487,-0.838549692399484,-0.42710576124206434,1.0,1.0,34,1303.0,1.0,True,0.0
ACSL4,Bladder/Urinary Tract,-0.5295370898898738,-0.7471900531985007,-0.2525504470500899,0.999,0.9975,34,1467.0,1.0,True,0.03374999999999928
AP1M1,Bladder/Urinary Tract,-0.604009337453364,-0.8124035893233177,-0.37239145977695726,1.0,1.0,34,1737.0,1.0,True,0.0
TP63,Bladder/Urinary Tract,-0.8118572444520319,-0.9118584127086455,-0.6782836568234221,1.0,1.0,34,1162.0,1.0,True,0.0
FERMT2,Bladder/Urinary Tract,-0.5986182715992245,-0.7968442102342652,-0.3484341944040384,1.0,0.9995,34,1343.0,1.0,True,0.01079999999999881
